source,target,mode_of_regulation,weight
ADA2,EIF3D,1,1
ADA2,EIF3F,1,1
ADA2,EIF4A2,1,1
ADA2,EIF4E2,1,1
ADA2,EIF4G1,1,1
ADA2,EIF4G3,1,1
ADA2,EIF5B,1,1
ADA2,ELAPOR1,1,1
ADA2,ELMOD1,1,1
ADA2,ELOA,1,1
ADA2,EMC4,1,1
ADA2,EME2,1,1
ADA2,EMG1,1,1
ADA2,ENPP3,1,1
ADA2,ENSG00000232995,1,1
ADA2,ENSG00000246465,1,1
ADA2,ENSG00000263011,1,1
ADA2,ENSG00000267260,1,1
ADA2,ENSG00000273828,1,1
ADA2,EPCIP-AS1,1,1
ADA2,ERCC6L2,1,1
ADA2,ERCC6L2-AS1,1,1
ADA2,ERI1,1,1
ADA2,ERP44,1,1
ADA2,EVX2,1,1
ADA2,EXD2,1,1
ADA2,EXD3,1,1
ADA2,EXOSC3,1,1
ADA2,EXOSC4,1,1
ADA2,FAM118A,1,1
ADA2,FAM120A,1,1
ADA2,FAM120AOS,1,1
ADA2,FAM168A,1,1
ADA2,FAM220A,1,1
ADA2,FAM227B,1,1
ADA2,FAM228B,1,1
ADA2,FAM241A,1,1
ADA2,FAM98B,1,1
ADA2,FANCC,1,1
ADA2,FANCM,1,1
ADA2,FBXL14,1,1
ADA2,FBXO22,1,1
ADA2,FBXW2,1,1
ADA2,FBXW8,1,1
ADA2,FEM1B,1,1
ADA2,FGF7,1,1
ADA2,FGFBP3,1,1
ADA2,FKBP10,1,1
ADA2,FKBP3,1,1
ADA2,FLI1,1,1
ADA2,FOSL2,1,1
ADA2,FOXI1,1,1
ADA2,FOXN3,1,1
ADA2,FOXS1,1,1
ADA2,FRA10AC1,1,1
ADA2,FZD1,1,1
ADA2,FZD2,1,1
ADA2,G0S2,1,1
ADA2,GABPA,1,1
ADA2,GALK2,1,1
ADA2,GALNT16,1,1
ADA2,GALNT16-AS1,1,1
ADA2,GAP43,1,1
ADA2,GATA3,1,1
ADA2,GATM,1,1
ADA2,GBA1,1,1
ADA2,GEMIN7,1,1
ADA2,GET4,1,1
ADA2,GFM1,1,1
ADA2,GFM2,1,1
ADA2,GGN,1,1
ADA2,GIN1,1,1
ADA2,GLIPR1,1,1
ADA2,GLUD1P2,1,1
ADA2,GLUD1P3,1,1
ADA2,GOLGA3,1,1
ADA2,GOLM2,1,1
ADA2,GPBP1L1,1,1
ADA2,GRAMD1B,1,1
ADA2,GRB2,1,1
ADA2,GRPEL2,1,1
ADA2,GSK3A,1,1
ADA2,GSTCD,1,1
ADA2,GTF2H2C,1,1
ADA2,GTF2H3,1,1
ADA2,GTF2H4,1,1
ADA2,GTF3C3,1,1
ADA2,GTF3C5,1,1
ADA2,GTPBP3,1,1
ADA2,GUCD1,1,1
ADA2,H2AZ1-DT,1,1
ADA2,H2AZP3,1,1
ADA2,H2BC4,1,1
ADA2,HAR1A,1,1
ADA2,HASPIN,1,1
ADA2,HDAC8,1,1
ADA2,HELQ,1,1
ADA2,HEMK1,1,1
ADA2,HERC3,1,1
ADA2,HIRA,1,1
ADA2,HMGA2,1,1
ADA2,HMGB1,1,1
ADA2,HMGXB3,1,1
ADA2,HNRNPF,1,1
ADA2,HOXC8,1,1
ADA2,HSP90AA1,1,1
ADA2,HSPB9,1,1
ADA2,HUS1,1,1
ADA2,HYCC2,1,1
ADA2,IFT56,1,1
ADA2,IFTAP,1,1
ADA2,IGHMBP2,1,1
ADA2,INO80B,1,1
ADA2,INO80B-WBP1,1,1
ADA2,INPP4B,1,1
ADA2,INTS12,1,1
ADA2,INTS14,1,1
ADA2,INTS5,1,1
ADA2,INVS,1,1
ADA2,IPO4,1,1
ADA2,IPPK,1,1
ADA2,ISM1,1,1
ADA2,ISY1,1,1
ADA2,ISY1-RAB43,1,1
ADA2,ITGAE,1,1
ADA2,ITGB3BP,1,1
ADA2,JMJD4,1,1
ADA2,JPX,1,1
ADA2,JRK,1,1
ADA2,KAT2A,1,1
ADA2,KBTBD4,1,1
ADA2,KCNJ5,1,1
ADA2,KCTD10,1,1
ADA2,KCTD5,1,1
ADA2,KIAA0586,1,1
ADA2,KIAA0825,1,1
ADA2,KIF22,1,1
ADA2,KLHDC9,1,1
ADA2,KLHL20,1,1
ADA2,KLK10,1,1
ADA2,KMT2A,1,1
ADA2,KMT2B,1,1
ADA2,KMT5B,1,1
ADA2,KNSTRN,1,1
ADA2,KRR1,1,1
ADA2,LAMP1,1,1
ADA2,LAS1L,1,1
ADA2,LDB2,1,1
