statistic,source,condition,score,p_value,comparison
ulm,E2F5,avg_log2FC,-0.749604876860161,0.453586351305164,Micro-PVM_Frontal
ulm,EBNA1BP2,avg_log2FC,-0.490474981725859,0.623854976054817,Micro-PVM_Frontal
ulm,EGFR,avg_log2FC,2.73868875813183,0.00622658464647571,Micro-PVM_Frontal
ulm,ELF2,avg_log2FC,-1.65086989693227,0.0989319011386589,Micro-PVM_Frontal
ulm,ELF5,avg_log2FC,-1.15071581142067,0.249995274460632,Micro-PVM_Frontal
ulm,EMX1,avg_log2FC,-1.63962911890602,0.101249342142395,Micro-PVM_Frontal
ulm,EPC1,avg_log2FC,2.4657349784538,0.0137618176705681,Micro-PVM_Frontal
ulm,EWSR1,avg_log2FC,0.174324579603227,0.861629122894138,Micro-PVM_Frontal
ulm,F10,avg_log2FC,1.5387332754515,0.124037439537788,Micro-PVM_Frontal
ulm,FEV,avg_log2FC,0.905662784410491,0.365230232793446,Micro-PVM_Frontal
ulm,FOXC1,avg_log2FC,-0.2923262110371,0.770069425019942,Micro-PVM_Frontal
ulm,FOXD2,avg_log2FC,1.54693134971468,0.12204784033012,Micro-PVM_Frontal
ulm,FOXD3,avg_log2FC,-0.237560528713673,0.812247811789889,Micro-PVM_Frontal
ulm,FOXE1,avg_log2FC,2.05945724281492,0.0395876621308574,Micro-PVM_Frontal
ulm,FOXG1,avg_log2FC,0.627711548656685,0.530269031443106,Micro-PVM_Frontal
ulm,FOXJ2,avg_log2FC,0.163236605856063,0.870349662135023,Micro-PVM_Frontal
ulm,FOXN3,avg_log2FC,-0.914117544020286,0.360772117697011,Micro-PVM_Frontal
ulm,FOXO4,avg_log2FC,0.184878039765123,0.853344605249749,Micro-PVM_Frontal
ulm,FOXR2,avg_log2FC,2.67327284098145,0.00757638274095971,Micro-PVM_Frontal
ulm,FXR1,avg_log2FC,0.527678606346373,0.597784594391099,Micro-PVM_Frontal
ulm,GLI1,avg_log2FC,0.0442888885209789,0.964678824581288,Micro-PVM_Frontal
ulm,GLI3,avg_log2FC,-0.583181804518333,0.559840754923249,Micro-PVM_Frontal
ulm,GLI4,avg_log2FC,1.18273721083622,0.237062626460381,Micro-PVM_Frontal
ulm,GREB1,avg_log2FC,0.122468383384083,0.902541152603926,Micro-PVM_Frontal
ulm,GTF2A2,avg_log2FC,4.51309266252489,6.78377190023321e-06,Micro-PVM_Frontal
ulm,GTF2E2,avg_log2FC,3.03823750571658,0.00241237543274253,Micro-PVM_Frontal
ulm,GUCY1B1,avg_log2FC,0.55494583515811,0.57899762160557,Micro-PVM_Frontal
ulm,H1_6,avg_log2FC,0.0322045355028586,0.974312352300444,Micro-PVM_Frontal
ulm,HAND1,avg_log2FC,0.477400834046175,0.633132126135795,Micro-PVM_Frontal
ulm,HBZ,avg_log2FC,0.0205371000108633,0.983617092645007,Micro-PVM_Frontal
ulm,HDAC4,avg_log2FC,0.202365090897855,0.839653178398376,Micro-PVM_Frontal
ulm,HDAC8,avg_log2FC,-0.490066512757166,0.62414392585429,Micro-PVM_Frontal
ulm,HDGF,avg_log2FC,0.956434501656941,0.33897553458116,Micro-PVM_Frontal
ulm,HES2,avg_log2FC,0.912583101909172,0.361578666583039,Micro-PVM_Frontal
ulm,HES4,avg_log2FC,1.17361236187428,0.240698749099082,Micro-PVM_Frontal
ulm,HEY2,avg_log2FC,0.351824312050152,0.725009390921306,Micro-PVM_Frontal
ulm,HHEX,avg_log2FC,-0.224562488914558,0.822344013319948,Micro-PVM_Frontal
ulm,HJURP,avg_log2FC,3.43634705753546,0.000602419767185245,Micro-PVM_Frontal
ulm,HMG20B,avg_log2FC,-0.285810084518033,0.775055020786872,Micro-PVM_Frontal
ulm,HMGA1,avg_log2FC,-0.96309649628365,0.335622761311878,Micro-PVM_Frontal
ulm,HMGB2,avg_log2FC,0.732857710910513,0.463736435030838,Micro-PVM_Frontal
ulm,HOXA1,avg_log2FC,-0.699163274945514,0.484536348682665,Micro-PVM_Frontal
ulm,HOXA10,avg_log2FC,1.48079444072072,0.138828656688457,Micro-PVM_Frontal
ulm,HOXA7,avg_log2FC,-0.0201220373535104,0.98394815230749,Micro-PVM_Frontal
ulm,HOXB4,avg_log2FC,1.21064539218012,0.226183273052573,Micro-PVM_Frontal
ulm,HOXB6,avg_log2FC,0.902226903736491,0.367051736952777,Micro-PVM_Frontal
ulm,HOXC13,avg_log2FC,1.28763621263688,0.198030856633518,Micro-PVM_Frontal
ulm,HOXC6,avg_log2FC,-0.631970605132658,0.52748280333225,Micro-PVM_Frontal
ulm,HOXD1,avg_log2FC,-1.40978384049922,0.158768660948407,Micro-PVM_Frontal
